639	도움	Help
640	가정	Famly	假定	assumption	家庭	home	假定	hypothesis	假定	supposition
641	걸다	Hang up or suspend
642	빠지다	To fall into
643	멀다	To be far
644	버스	Bus
645	오늘날	These days, nowadays
646	잠시	For a little while	暫時	for a little while	暫時	for a little while
647	농업	Agriculture	農業	agriculture
648	대다	Put, place up to
649	식	form,style	式	form, style
650	의견	An opinion,a suggestion	意見	view
651	무대	Stage	舞臺	stage
652	사진	Picture	寫眞	picture
653	주장	assertion,insistance	主張	advocacy	主張	assertion	主張	contention	主張	insistence
654	표현하다	To express, make known by saying
655	인하다	To be due to, caused by	因-	to be due to, caused by
656	이상하다	To be strange,queer
657	제일	The first	第一	first
658	붙다	Stick, adhere to
659	아마	Probably	亞麻	flax
660	얘기하다	To tell a story
661	잇다	Join, connect
662	조금	A little
663	경기	Race or match or contest	競技	contest	競技	game	景氣	the business market's state
664	목적	goal,purpose	目的	intention	目的	purpose
665	태도	attitude,comportment	態度	attitude	態度	manner
666	남성	Male	男性	male
667	주위	The circumference,the girth	周圍	circumference	周圍	surrounding
668	대책	Countermeasure	對策	countermeasure
669	그만	That much or a little amount
670	발생하다	Originate, come from
671	다리	Leg	교량	bridge
672	아무	anybody,everybody
673	어쩌다	By chance, accident
674	재료	stuff,material	材料	ingredient
675	각각	Each and every	各各	respectively
676	결코	Never or by no means	決-	never; by no means
677	옮기다	Move, transfer (2)(sickness) communicate, transfer to
678	항상	Always	恒常	always
679	해	A year	害	damage, injury
680	잃다	To lose, to miss, to be deprived
681	자유	Freedom	自由	freedom	自由	liberty
682	책임	Responsibility	責任	duty	責任	responsibility
683	바뀌다	Be changed
684	비슷하다	To resemble
685	심하다	To be extreme,intense	甚-	to be extreme, intense
686	경쟁	Competition or rivalry	競爭	competition	競爭	contest
687	사랑하다	To love
688	아니	No!
689	여름	summer,summertime
690	자라다	To grow up
691	회	A time, an inning, a round in a game	回	a time, an inning, a round in a game
692	구체적	Concretely	具體的	concretely
693	기회	An opportunity	機會	chance	機會	opportunity
694	실시하다	To enforce,put into effect	實施-	to enforce,put into effect
695	지구	The earth	地區	district	地球	earth
696	번째	How many times	番-	~ times
697	소비자	A consumer	消費者	consumer
698	싫다	To not like, to hate
699	규모	Scale or scope or structure	規模	scale
700	기준	A standard or basis	基準	a standard or basis
701	말	End	末	end
702	반드시	Most certainly
703	셈	An intention,design,purpose
704	갖추다	Make or get ready or prepare
705	그러니까	And so it is that
706	받아들이다	Accept
707	값	Price
708	현장	on site, on location, at the site in question	現場	on site, on location
709	건설	Construction	建設	construction
710	꺼내다	To get out or draw out
711	노동자	Laborer, worker	勞動者	laborer
712	언제나	everytime,always
713	완전히	completely,perfectly
714	자동차	Car	自動車	automobile
715	전하다	To transmit,convey	傳-	to transmit, convey
716	존재하다	To exist
717	개월	Each and every month	個月	each and every month
718	맞다	receive,welcome (note, usually this is 맞히다)
719	별로	Especially, particularly	別-	especially, particularly
720	어린이	A youngster, a child
721	정하다	To set,determine	定-	to set,determine
722	한마디	One word
723	유지하다	To preserve, maintain
724	이데올로기	Ideology
725	공부하다	To study	工夫-	to study
726	대중	The masses	大衆	the masses
727	늘어나다	Grow longer
728	닦다	Wipe clean, polish
729	만	As many as, full, complete	萬	one thousand	滿	just, full	萬	10000
730	말씀	Speech
731	괜찮다	To be okay
732	눈물	A tear
733	각종	All sorts or varieties	各種	all sorts, all varieties
734	빛	Light
735	아니	Not
736	피하다	avoid,keep away	避-	to avoid, keep away
737	거치다	Pass or go through
738	나아가다	Advance, go forward
739	야	(Word to get somebody’s attention) Hey!! (2) impolite speech for 이다, to be
740	지식	Knowledge, information	知識	information	知識	knowledge
741	여전히	As it used to be, as before ; still, persistently, even still	如前-	as it used to be, as before; still, persistently, even still
742	주인	The head of a family,the owner	主人	the head of a family,the owner
743	발견하다	To discover	發見-	to discover
744	선	A line, a route	線	a line, a route
745	인류	The human race	人類	humanity	人類	mankind
746	특징	A special feature, a distinguishing feature	特徵	feature
747	선수	An athlete	選手	an athlete
748	형식	A form, formality, mold	形式	form
749	마련하다	To plan, arrange
750	반	Half	半	half	班	group, company, party
751	발표하다	To announce
752	주제	Subject, theme, topic	主題	subject	主題	theme
753	걸치다	1) put a thing over or across 2) to range from A to B
754	겪다	Experience or undergo or suffer
755	관점	A point of view or a standpoint/outlook	觀點	a point of view or a standpoint; outlook
756	귀	Ear
757	기본	A foundation	基本	a foundation
758	미터	Meter
759	사라지다	To disappear
760	어떠하다	To be how
761	감정	Feelings	感情	feelings
762	기억	A memory	記憶	memory	記憶	remembrance
763	놈	A fellow
764	인기	Popularity	人氣	popularity
765	배	Abdomen	倍	times, ~-fold
766	아파트	Apartment
767	가끔	Sometimes
768	구성	Organization or constitution , the framework of something	構成	composition	構成	organization
769	술	Spoonful
770	실제로	In reality	實際-	in reality
771	짧다	Short, brief
772	고맙다	To thank
773	관리	Management or administration	管理	control	官吏	a government official
774	그곳	That place
775	보다	More than, greater than ….
776	비롯하다	begin,start
777	과연	Just as one thought	果然	indeed; sure enough; just as one thought
778	달리다	run, make do fast
779	바쁘다	Busy
780	이전	Former days/times	以前	formerly, previously, before
781	인정하다	To acknowledge,authorize
782	자	A person	者	a person	字	a Chinese character
783	중앙	The middle and the heart	中央	the middle; the heart
784	나쁘다	To be bad
785	불구하다	Deformity, malformation	不拘-	deformity, malformation
786	시키다	To make
787	게임	Game
788	국제	International	國際	international
789	그룹	Group
790	인생	Life	人生	life
791	전통	tradition,convention	傳統	tradition
792	기르다	Educate or train or cultivate
793	잔	A cup, wine glass	盞	a cup; a glass
794	조사하다	To examine,investigate	照査	check	調査	probe	調査	research	調査	survey
795	커다랗다	To be very big/large
796	있다	To be
797	시인	A poet	是認	approval	詩人	poet
798	언제	when,at what time
799	외	Except, save for	外	except, save for
800	평가	Evaluation, appraisal	評價	estimation	評價	evaluation	平價	par	平價	parity	評價	valuation
801	내려오다	Come down
802	위치	A position, a location	位置	location	位置	position	位置	situation
803	줄이다	reduce,decrease
804	가격	Price	價格	cost
805	달라지다	To change, vary
806	비다	To be empty, vacant
807	삼국	Three countries	三國	three countries
808	손님	Customer
809	원하다	To want	願-	to want
810	통신	communications,correspondance	通信	communication	通信	correspondence
811	확인하다	To confirm,corroborate	確認	check
812	모임	A group, a party
813	수	The number of sth	數	the number of sth
814	웃음	Laughter, a smile
815	기계	An instrument or a machine	機械	machine
816	모양	signs,indications	模樣	figure
817	물질	matter,material	物質	substance
818	아나운서	Announcer
819	뉴스	News
820	살아가다	Lead a life, get along
821	펴다	Spread out, unfold
822	배	Times, x-fold	倍	times, ~-fold
823	수업	school,teaching	授業	instruction, school, teaching	修業	vocational training
824	겨울	Winter
825	종교	religion,a faith	宗敎	religion, a faith
826	층	floor,grade,class	層	floor; grade, class
827	자연스럽다	To be natural	自然-	to be natural
828	장	One piece of sth flat	張	one piece of sth flat (counter)	章	a chapter in a book
829	식사	A meal	食事	a meal
830	안다	To hold, embrace
831	이해	Understanding	理解	comprehension	理解	understanding	利害	interests
832	잊다	To forget
833	제시하다	To present
834	반	Group, company, party	半	half	班	group, company, party
835	불과하다	Nothing more than	不過-	nothing more than
836	혹은	If that’s not the case	或-	if that's not the case
837	엄청나다	To be absurd,wild,terribly large
838	편	Direction, way (the wind is blowing that ~)	篇	compilation, editing
839	텔레비전	Television
840	파악하다	Grasp, seize, understand	把握-	grasp, seize, understand
841	편	Compilation, editing	篇	compilation, editing
842	실천	Practice	實踐	practice
843	노력하다	To try hard, strive	勞力	endeavor
844	보호	protection,shelter	保護	care	保護	guardianship	保護	protection
845	씻다	To wash,cleanse
846	늦다	To be late (time)
847	이웃	The neighborhood
848	편지	Letter	便紙	letter
849	공동	Association or union or collaboration	空洞	cavity	共同	association,  union,  collaboration
850	까닭	Reason
851	방안	A plan, scheme	方案	a plan, scheme
